ANIMAL_ID,Date,Time,X_COORD,Y_COORD,LOC_ID
1,2-Jan-15,7:14:00 PM,618757.0368,1315078.611,147
1,6-Jan-15,8:57:00 PM,619858.2917,1312033.775,153
1,25-Dec-14,4:35:00 AM,618390.4316,1310776.054,157
2,13-Dec-14,11:26:00 PM,622450.7714,1320136.633,135
2,16-Dec-14,1:49:00 AM,621180.7761,1318824.228,137
3,27-Dec-14,9:08:00 PM,616841.5169,1327889.37,45
3,28-Nov-14,7:37:00 PM,620483.8853,1322335.148,140
4,6-Dec-14,9:24:00 PM,628787.1751,1325667.667,71
4,17-Dec-14,7:26:00 PM,621806.4926,1322453.282,132
4,18-Dec-14,9:56:00 PM,622599.1028,1317937.422,133
4,19-Dec-14,1:07:00 AM,623179.027,1315941.257,134
4,27-Dec-14,12:33:00 AM,618085.4828,1316906.368,146
5,29-Nov-14,12:16:00 AM,621928.7484,1313477.589,152
5,29-Nov-14,2:00:00 AM,619858.2917,1312033.775,153
5,28-Dec-14,6:34:00 PM,621928.7484,1313477.589,152
6,1-Dec-14,1:35:00 AM,618167.9357,1318380.953,145
6,2-Dec-14,3:42:00 AM,619279.1768,1318012.608,162
6,10-Dec-14,7:14:00 PM,618167.9357,1318380.953,145
6,21-Dec-14,9:52:00 PM,619279.1768,1318012.608,162
6,22-Dec-14,6:34:00 PM,618085.4828,1316906.368,146
6,27-Dec-14,11:10:00 PM,619679.2328,1319297.126,138
6,27-Dec-14,12:23:00 AM,618167.9357,1318380.953,145
6,27-Dec-14,1:32:00 AM,619279.1768,1318012.608,162
6,1-Jan-15,5:11:00 AM,619279.1768,1318012.608,162
6,6-Jan-15,5:47:00 AM,618085.4828,1316906.368,146
6,6-Jan-15,10:21:00 PM,618085.4828,1316906.368,146
6,6-Jan-15,3:26:00 AM,619279.1768,1318012.608,162
6,7-Jan-15,5:35:00 AM,618085.4828,1316906.368,146
7,28-Nov-14,2:09:00 AM,619631.359,1321481.248,139
7,28-Nov-14,2:37:00 AM,620483.8853,1322335.148,140
7,8-Dec-14,1:11:00 AM,618075.9532,1321845.612,141
7,13-Dec-14,12:01:00 AM,621122.5464,1325716.505,97
7,13-Dec-14,12:48:00 AM,619303.2038,1325965.808,119
7,15-Dec-14,9:56:00 PM,622479.7648,1325854.73,98
7,15-Dec-14,3:12:00 AM,620483.8853,1322335.148,140
7,19-Dec-14,7:04:00 AM,622479.7648,1325854.73,98
7,19-Dec-14,7:30:00 PM,619631.359,1321481.248,139
7,20-Dec-14,8:49:00 PM,619303.2038,1325965.808,119
7,21-Dec-14,11:34:00 PM,616852.0558,1320978.18,143
7,22-Dec-14,11:42:00 PM,619604.2478,1324739.364,129
7,22-Dec-14,5:18:00 AM,619153.5523,1323341.825,142
7,23-Dec-14,9:47:00 PM,618075.9532,1321845.612,141
7,26-Dec-14,3:59:00 AM,619303.2038,1325965.808,119
7,26-Dec-14,7:22:00 PM,621806.4926,1322453.282,132
7,30-Dec-14,3:41:00 AM,619604.2478,1324739.364,129
