Trap,LOC_ID,Date,Time,Indicator
HKMBR1,1,29-Nov-14,11:21,1
HKMBR1,1,13-Jan-15,11:10,0
HKMBR2,2,29-Nov-14,11:50,1
HKMBR2,2,13-Jan-15,11:41,0
SGR,3,29-Nov-14,10:41,1
SGR,3,13-Jan-15,10:17,0
GTR,4,29-Nov-14,14:08,1
GTR,4,13-Jan-15,13:33,0
AKR,5,29-Nov-14,12:29,1
AKR,5,13-Jan-15,12:28,0
MLKR1.4,6,29-Nov-14,08:55,1
MLKR1.4,6,13-Jan-15,09:12,0
MLKR3.3,7,29-Nov-14,09:12,1
MLKR3.3,7,13-Jan-15,09:39,0
KKTR1.0,8,29-Nov-14,09:42,1
KKTR1.0,8,13-Jan-15,10:19,0
KKTR3.4,9,29-Nov-14,09:56,1
KKTR3.4,9,13-Jan-15,10:35,0
KKTR4.3,10,29-Nov-14,10:06,1
KKTR4.3,10,13-Jan-15,10:50,0
DRR3.8,11,29-Nov-14,10:24,1
DRR3.8,11,13-Jan-15,11:11,0
MGR4.9,12,29-Nov-14,12:25,1
MGR4.9,12,13-Jan-15,13:03,0
MGR1.9,13,29-Nov-14,12:39,1
MGR1.9,13,13-Jan-15,09:52,0
HPR2.3,14,29-Nov-14,13:38,1
HPR2.3,14,13-Jan-15,10:16,0
PDRN2.4,15,29-Nov-14,14:16,1
PDRN2.4,15,13-Jan-15,10:48,0
PDRN4.5,16,29-Nov-14,14:29,1
PDRN4.5,16,13-Jan-15,11:04,0
BKR2.8,17,29-Nov-14,14:43,1
BKR2.8,17,13-Jan-15,11:24,0
MGR7.3,18,29-Nov-14,12:11,1
MGR7.3,18,13-Jan-15,11:40,0
MKR2.0,19,29-Nov-14,11:48,1
MKR2.0,19,13-Jan-15,12:02,0
MGR10.0,20,29-Nov-14,11:32,1
MGR10.0,20,13-Jan-15,12:19,0
MGR12.0,21,29-Nov-14,15:22,1
MGR12.0,21,13-Jan-15,12:33,0
KDFLR0.0,22,27-Nov-14,09:23,1
KDFLR0.0,22,11-Jan-15,08:31,0
NRKR1.2,23,27-Nov-14,09:50,1
NRKR1.2,23,11-Jan-15,08:52,0
GMR2.2,24,27-Nov-14,10:13,1
GMR2.2,24,11-Jan-15,09:13,0
HCR1.3,25,27-Nov-14,10:43,1
HCR1.3,25,11-Jan-15,09:29,0
MNKR2.4,26,27-Nov-14,11:06,1
MNKR2.4,26,11-Jan-15,09:51,0
GNGR2.9,27,27-Nov-14,11:31,1
GNGR2.9,27,11-Jan-15,10:13,0
GNGR3.1,28,27-Nov-14,11:56,1
GNGR3.1,28,11-Jan-15,10:36,0
MHJR6.3,29,27-Nov-14,12:26,1
MHJR6.3,29,11-Jan-15,11:10,0
JDLR0.9,30,27-Nov-14,13:16,1
JDLR0.9,30,11-Jan-15,11:44,0
GHMR0.2,31,27-Nov-14,13:43,1
GHMR0.2,31,11-Jan-15,12:09,0
ERKR0.1,32,27-Nov-14,13:59,1
ERKR0.1,32,11-Jan-15,12:21,0
ERKR1.9,33,27-Nov-14,14:15,1
ERKR1.9,33,06-Dec-14,12:51,0
RRLR0.7,34,27-Nov-14,14:40,1
RRLR0.7,34,11-Jan-15,11:53,0
SLCR0.9,35,27-Nov-14,14:57,1
SLCR0.9,35,11-Jan-15,12:08,0
SLCR3.9,36,27-Nov-14,15:13,1
SLCR3.9,36,11-Jan-15,12:24,0
VTWR3.2,37,27-Nov-14,15:31,1
VTWR3.2,37,11-Jan-15,12:44,0
MDHR1.2,38,27-Nov-14,16:05,1
MDHR1.2,38,11-Jan-15,11:37,0
MDHR2.1,39,27-Nov-14,16:15,1
MDHR2.1,39,11-Jan-15,11:27,0
MDHR3.9,40,27-Nov-14,16:27,1
MDHR3.9,40,11-Jan-15,11:14,0
JKHR1.9,41,27-Nov-14,16:43,1
JKHR1.9,41,11-Jan-15,10:54,0
CMKR0.9,42,27-Nov-14,17:11,1
CMKR0.9,42,11-Jan-15,10:32,0
MDRS0.9,43,27-Nov-14,17:58,1
MDRS0.9,43,11-Jan-15,10:13,0
HDRR2.0,44,27-Nov-14,17:39,1
HDRR2.0,44,11-Jan-15,09:53,0
BZR1.9,45,27-Nov-14,08:47,1
BZR1.9,45,11-Jan-15,08:04,0
BZR4.4,46,27-Nov-14,09:05,1
BZR4.4,46,11-Jan-15,08:24,0
GGR0.4,47,27-Nov-14,09:24,1
GGR0.4,47,11-Jan-15,08:45,0
NGR2.3,48,27-Nov-14,09:36,1
NGR2.3,48,11-Jan-15,09:00,0
HGR1.8,49,27-Nov-14,09:47,1
HGR1.8,49,11-Jan-15,09:17,0
NFR0.2,50,27-Nov-14,09:59,1
NFR0.2,50,11-Jan-15,09:35,0
CPR1.6,51,27-Nov-14,10:22,1
CPR1.6,51,11-Jan-15,09:55,0
SMR0.8,52,27-Nov-14,11:03,1
SMR0.8,52,11-Jan-15,10:11,0
TGR0.2,53,27-Nov-14,10:38,1
TGR0.2,53,11-Jan-15,10:25,0
WTR2.2,54,27-Nov-14,11:21,1
WTR2.2,54,11-Jan-15,10:44,0
STR1.7,55,27-Nov-14,11:42,1
STR1.7,55,11-Jan-15,11:01,0
STR4.3,56,27-Nov-14,12:02,1
STR4.3,56,11-Jan-15,11:17,0
HKR1.0,57,27-Nov-14,12:23,1
HKR1.0,57,11-Jan-15,11:37,0
HKR2.4,58,27-Nov-14,12:37,1
HKR2.4,58,11-Jan-15,11:49,0
HKR3.6,59,27-Nov-14,12:52,1
HKR3.6,59,11-Jan-15,12:02,0
HKR5.4,60,27-Nov-14,13:04,1
HKR5.4,60,11-Jan-15,12:14,0
HPD2.4,61,27-Nov-14,13:52,1
HPD2.4,61,11-Jan-15,12:33,0
MMKD1.8,62,27-Nov-14,14:14,1
MMKD1.8,62,11-Jan-15,12:57,0
TLR1.3,63,27-Nov-14,14:43,1
TLR1.3,63,11-Jan-15,13:15,0
KKGR8.5,64,27-Nov-14,15:12,1
KKGR8.5,64,11-Jan-15,14:38,0
CBR5.3,65,27-Nov-14,15:36,1
CBR5.3,65,11-Jan-15,15:03,0
DKR3.6,66,27-Nov-14,16:15,1
DKR3.6,66,11-Jan-15,15:24,0
CBR0.3,67,27-Nov-14,16:40,1
CBR0.3,67,11-Jan-15,15:45,0
MHJR2.3,68,27-Nov-14,17:14,1
MHJR2.3,68,11-Jan-15,09:18,0
KDGR0.7,69,28-Nov-14,10:12,1
KDGR0.7,69,12-Jan-15,09:20,0
KDGR2.4,70,28-Nov-14,10:24,1
KDGR2.4,70,12-Jan-15,09:37,0
BGKR1.4,71,28-Nov-14,10:46,1
BGKR1.4,71,12-Jan-15,09:49,0
KDGR4.2,72,28-Nov-14,11:06,1
KDGR4.2,72,12-Jan-15,10:06,0
KFLR1.6,73,28-Nov-14,11:48,1
KFLR1.6,73,12-Jan-15,10:44,0
MDGR1.3,74,28-Nov-14,11:24,1
MDGR1.3,74,12-Jan-15,10:25,0
KDGR5.6,75,28-Nov-14,12:05,1
KDGR5.6,75,12-Jan-15,10:58,0
KDGR7.2,76,28-Nov-14,12:16,1
KDGR7.2,76,12-Jan-15,11:07,0
MKDR0.9,77,28-Nov-14,12:31,1
MKDR0.9,77,12-Jan-15,11:23,0
MHKR2.9,78,28-Nov-14,12:39,1
MHKR2.9,78,12-Jan-15,11:33,0
TRR1.3,79,28-Nov-14,13:07,1
TRR1.3,79,12-Jan-15,11:58,0
MHKR5.9,80,28-Nov-14,13:46,1
MHKR5.9,80,12-Jan-15,12:33,0
MHKR7.6,81,28-Nov-14,14:04,1
MHKR7.6,81,12-Jan-15,12:45,0
RKR4.6,82,28-Nov-14,14:49,1
RKR4.6,82,12-Jan-15,12:59,0
RKR2.5,83,28-Nov-14,14:57,1
RKR2.5,83,12-Jan-15,13:13,0
RSLR3.4,84,28-Nov-14,15:11,1
RSLR3.4,84,12-Jan-15,13:28,0
DMJR0.7,85,28-Nov-14,15:28,1
DMJR0.7,85,12-Jan-15,13:45,0
RSLR0.2,86,28-Nov-14,15:51,1
RSLR0.2,86,12-Jan-15,14:08,0
KKR0.6,87,28-Nov-14,16:26,1
KKR0.6,87,12-Jan-15,14:37,0
KKR3.0,88,28-Nov-14,16:45,1
KKR3.0,88,12-Jan-15,14:57,0
KKGR4.2,89,28-Nov-14,17:05,1
KKGR4.2,89,12-Jan-15,15:15,0
